trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'e': 0.5696012024771592, 'a': 0.5}",20,0,-28.686303005475807,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
57,False,"{'e': 0.5639051904523876, 'a': 0.5}",20,7,-61.50219153887463,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
58,False,"{'e': 0.5582661385478638, 'a': 0.5}",25,8,-28.63072875724525,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'e': 0.5526834771623851, 'a': 0.5}",20,0,-6.294460326141533,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
60,False,"{'e': 0.5471566423907612, 'a': 0.5}",20,9,-23.113988723364805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'e': 0.5416850759668536, 'a': 0.5}",25,7,5.693286605085277,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'e': 0.536268225207185, 'a': 0.5}",30,0,11.96331224298051,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
63,False,"{'e': 0.5309055429551132, 'a': 0.5}",20,5,-14.070758868724266,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
64,False,"{'e': 0.525596487525562, 'a': 0.5}",25,0,-57.96772745204351,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'e': 0.5203405226503064, 'a': 0.5}",20,0,-14.802392823299755,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'e': 0.5151371174238033, 'a': 0.5}",20,0,-39.475634489815796,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
67,False,"{'e': 0.5099857462495653, 'a': 0.5}",30,19,0.9729103044985603,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'e': 0.5048858887870696, 'a': 0.5}",25,0,-74.01537641054696,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
69,False,"{'e': 0.4998370298991989, 'a': 0.5}",30,2,-50.68139062298164,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 1}",1
70,False,"{'e': 0.49483865960020695, 'a': 0.5}",20,14,3.502058928725334,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.4898902730042049, 'a': 0.5}",20,0,-40.282660096234835,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'e': 0.48499137027416284, 'a': 0.5}",25,8,-13.514022481994465,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'e': 0.4801414565714212, 'a': 0.5}",25,8,19.46173587808542,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'e': 0.475340042005707, 'a': 0.5}",20,14,-33.06913181032026,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'e': 0.47058664158564995, 'a': 0.5}",20,14,10.059027007678127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.4658807751697934, 'a': 0.5}",20,6,-13.357460592856787,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
77,False,"{'e': 0.4612219674180955, 'a': 0.5}",30,14,-6.2210167682704745,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
78,False,"{'e': 0.45660974774391455, 'a': 0.5}",30,0,-63.695952503501005,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
79,False,"{'e': 0.4520436502664754, 'a': 0.5}",20,0,-15.450297107739324,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
80,False,"{'e': 0.44752321376381066, 'a': 0.5}",25,0,-10.883480646596261,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
81,False,"{'e': 0.44304798162617254, 'a': 0.5}",20,2,-22.987333022987837,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
82,False,"{'e': 0.4386175018099108, 'a': 0.5}",20,0,-88.19537903575537,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
83,False,"{'e': 0.4342313267918117, 'a': 0.5}",25,19,3.3800137506426884,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'e': 0.4298890135238936, 'a': 0.5}",20,13,-23.734481865745757,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'e': 0.42559012338865465, 'a': 0.5}",20,6,17.123959324941843,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.4213342221547681, 'a': 0.5}",20,7,-5.874745318061634,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
87,False,"{'e': 0.41712087993322045, 'a': 0.5}",25,15,5.245718920452061,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'e': 0.41294967113388825, 'a': 0.5}",20,0,14.837118877104,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
89,False,"{'e': 0.40882017442254937, 'a': 0.5}",20,0,-82.96554159045364,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
90,False,"{'e': 0.4047319726783239, 'a': 0.5}",25,0,-134.89863634215757,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
91,False,"{'e': 0.40068465295154065, 'a': 0.5}",25,20,10.048342406021819,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'e': 0.39667780642202527, 'a': 0.5}",25,19,10.26689093815561,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.392711028357805, 'a': 0.5}",20,16,7.852566250564462,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.38878391807422696, 'a': 0.5}",25,7,-2.5749960263922587,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'e': 0.3848960788934847, 'a': 0.5}",20,15,-2.4308393991084456,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'e': 0.38104711810454983, 'a': 0.5}",20,15,10.725756715638116,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'e': 0.37723664692350434, 'a': 0.5}",25,18,11.350993840695637,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.37346428045426927, 'a': 0.5}",20,0,7.576219264970581,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
99,False,"{'e': 0.36972963764972655, 'a': 0.5}",25,0,17.01908704494671,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
100,False,"{'e': 0.36603234127322926, 'a': 0.5}",20,6,1.4047038185543543,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'e': 0.36237201786049694, 'a': 0.5}",25,11,18.57413309632387,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'e': 0.358748297681892, 'a': 0.5}",20,0,-19.60979911261979,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
103,False,"{'e': 0.35516081470507305, 'a': 0.5}",25,6,-0.6376002447509963,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'e': 0.3516092065580223, 'a': 0.5}",20,0,2.3138435772970554,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
105,False,"{'e': 0.34809311449244207, 'a': 0.5}",20,0,-28.253248584264746,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
106,False,"{'e': 0.34461218334751764, 'a': 0.5}",25,2,22.173371986519328,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'e': 0.34116606151404244, 'a': 0.5}",25,15,8.308848751547064,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'e': 0.337754400898902, 'a': 0.5}",25,18,14.6795717427363,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'e': 0.334376856889913, 'a': 0.5}",25,0,17.68502216880343,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'e': 0.33103308832101386, 'a': 0.5}",30,10,5.946430921540494,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
111,False,"{'e': 0.3277227574378037, 'a': 0.5}",25,0,7.104789542575446,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'e': 0.3244455298634257, 'a': 0.5}",35,16,-25.292919224995284,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
113,False,"{'e': 0.3212010745647914, 'a': 0.5}",30,4,-69.31778654033225,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 1}",1
114,False,"{'e': 0.3179890638191435, 'a': 0.5}",30,2,-44.21699285378953,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
115,False,"{'e': 0.31480917318095203, 'a': 0.5}",30,4,14.83524649096402,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
116,False,"{'e': 0.3116610814491425, 'a': 0.5}",30,10,-20.12737804114096,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'e': 0.30854447063465107, 'a': 0.5}",20,0,-31.621125022362314,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
118,False,"{'e': 0.30545902592830454, 'a': 0.5}",20,3,5.234152306321673,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
